title,year,endyear,authors,organization,type,filename,location
"Water Quality Conditions in Upper Klamath and Agency Lakes, Oregon, 2006",2006,NA,"Mary K. Lindenberg, Gene Hoilman, Tamara M. Wood",USGS,technical report,USGS_Lindenberg_et_al._2008.pdf,Upper Klamath Lake and Agency Lakes
"Water Quality Conditions in Upper Klamath and Agency Lakes, Oregon, 2005",2005,NA,"Gene R. Hoilman, Mary K. Lindenberg,  Tamara M. Wood",USGS,technical report,USGS_Hoilman_et_al._2008.pdf,Upper Klamath Lake and Agency Lakes
"Water Quality of a Drained Wetland, Caledonia Marsh on Upper Klamath Lake, Oregon, after Flooding in 2006",2006,NA,"Mary K. Lindenberg, Tamara M. Wood",USGS,technical report,USGS_Lindenberg_and_Wood_2009.pdf,Upper Klamath Lake
"Hydrologic and Water-Quality Conditions During Restoration of the Wood River Wetland Upper Klamath River Basin, Oregon, 2003–05",2003,2005,"Kurt D. Carpenter, Daniel T. Snyder, John H. Duff, Frank J. Triska, Karl K. Lee, Donald J. Avanzino, Steven Sobieszczyk",USGS,technical report,USGS_Carpenter_et_al._2009.pdf,Upper Klamath Lake
UPPER KLAMATH BASIN NUTRIENT-LOADING STUDY Estimate of Wind-Induced Resuspension of Bed Sediment During Periods of Low Lake Elevation,1996,NA,"Antonius Laenen, A.P. LeTourneau",USGS,technical report,USGS_Laenen_and_Letourneau_1996.pdf,Upper Klamath Lake
"A Review of Possible Causes of Nutrient Enrichment and Decline of Endangered Sucker Populations in Upper Klamath Lake, Oregon",1993,NA,"Gilbert C. Bortleson, Marvin O. Fretwell",USGS,technical report,USGS_Bortleson_and_Fretwell_1993.pdf,Upper Klamath Lake
"Use of Acoustic Backscatter and Vertical Velocity to Estimate Concentration and Dynamics of Suspended Solids in Upper Klamath Lake, South-Central Oregon: Implications for Aphanizomenon flos-aquae",2010,NA,"Tamara M. Wood, Jeffrey W. Gartner",USGS,technical report,USGS_Wood_and_Gartner_2010.pdf,Upper Klamath Lake
"Physical and Chemical Characteristics Including Total and Geochemical Forms of Phosphorus in Sediment from the Top 30 Centimeters of Cores Collected in October 2006 at26 Sites in Upper Klamath Lake, Oregon",2006,NA,"Nancy S. Simon, Sarah N. Ingle",USGS,technical report,USGS_Simon_and_Ingle_2011.pdf,Upper Klamath Lake
"Water-Quality Data from Upper Klamath and Agency Lakes, Oregon, 2007–08",2007,2008,"Kristofor E. Kannarr, Dwight Q. Tanner, Mary K. Lindenberg, Tamara M. Wood",USGS,technical report,USGS_Kannarr_et_al._2010.pdf,Upper Klamath Lake and Agency Lakes
"Water-Quality Data from Upper Klamath and Agency Lakes, Oregon, 2009–10",2009,2010,"Blake Eldridge, Sara L. Caldwell Eldridge, Liam N. Schenk, Dwight Q. Tanner, Tamara M. Wood",USGS,technical report,USGS_Eldridge_et_al._2012.pdf,Upper Klamath Lake and Agency Lakes
"Evapotranspiration from Wetland and Open-Water Sites at Upper Klamath Lake, Oregon, 2008–2010",2008,2010,"David I. Stannard, Marshall W. Gannett, Danial J. Polette, U.S. Geological Survey; Jason M. Cameron, Bureau of Reclamation; M. Scott Waibel, U.S. Geological Survey; J. Mark Spears, Bureau of Reclamation",USGS,technical report,USGS_Stannard_et_al._2013.pdf,Upper Klamath Lake
"Revision and Proposed Modification of a Total Maximum Daily Load Model for Upper Klamath Lake, Oregon",2015,NA,"Susan A. Wherry, Tamara M. Wood, Chauncey W. Anderson",USGS,technical report,USGS_Wherry_et_al._2015.pdf,Upper Klamath Lake
"Geomorphology and Flood-Plain Vegetation of the Sprague and Lower Sycan Rivers, Klamath Basin, Oregon",2014,NA,"Jim E. O’Connor, Patricia F. McDowell, Pollyanna Lind, Christine G. Rasmussen, Mackenzie K. Keith",USGS,technical report,USGS_OConnor_et_al._2015.pdf,"Sprague River, Lower Sycan Rivers"
"Benthic Processes Affecting Contaminant Transport in Upper Klamath Lake, Oregon",2016,NA,"James S. Kuwabara, Brent R. Topping, James L. Carter, Rick A. Carlson, Francis Parchaso, Steven V. Fend, Natalie Stauffer-Olsen, Andrew J. Manning, Jennie M. Land",USGS,technical report,USGS_Kuwabara_et_al._2016.pdf,Upper Klamath Lake
"Review of Revised Klamath River Total Maximum Daily Road Models from Link River Dam to Keno Dam, Oregon",2013,NA,"Stewart A. Rounds, Annett B. Sullivan",USGS,technical report,USGS_Rounds_and_Sullivan_2013.pdf,Klamath River
"Using High-Throughput DNA Sequencing, Genetic Fingerprinting, and Quantitative PCR as Tools for Monitoring Bloom-Forming and Toxigenic Cyanobacteria in Upper Klamath Lake, Oregon, 2013 and 2014",2013,2014,"Sara L. Caldwell Eldridge, Connor Driscoll, Theo W. Dreher",USGS,technical report,USGS_Caldwell_Eldridge_et_al._2017.pdf,Upper Klamath Lake
Hydrologic Regime Controls Soil Phosphorus Fluxes in Restoration and Undisturbed Wetlands,2005,NA,"Allison Aldous, Paul McCormick, Chad Ferguson, Sean Graham, and Chris Craft",TNC,journal article,Aldous et al 2005.pdf,Upper Klamath Lake
Effects of Tubificid Worm Bioturbation on Freshwater Sediment Biogeochemistry,2012,NA,"P. Anschutz, A. Ciutat, P. Lecroart, M. Ge´rino, A. Boudou",CNRS,journal article,Anschutz et al. 2012.pdf,NA
"PRELIMINARY RESEARCH ON APHANIZOMENON FLOS-AQUAE AT UPPER KLAMATH LAKE, OREGON",2005,NA,"Aquatic Scientific Resources Wetland Research Consortium Portland, OR",USFWS,technical report,Aquatic Scientific Resources 2005.pdf,Upper Klamath Lake
"PRELIMINARY RESEARCH ON APHANIZOMENON FLOS-AQUAE AT UPPER KLAMATH LAKE, OREGON",2004,NA,"Aquatic Scientific Resources Wetland Research Consortium Portland, OR",USFWS,technical report,ASR 2004.pdf,Upper Klamath Lake
The importance of benthic recruitment to the population development of Aphanizomenon flos-aquae and internal loading in a shallow lake,1994,NA,"Richard P. Barbiero, Jacob Kann",USFWS,journal article,Barbiero and Kann 1994.pdf,Upper Klamath Lake
"A Review of Possible Causes of Nutrient Enrichment and Decline of Endangered Sucker Populations in Upper Klamath Lake, Oregon",1993,NA,"Gilbert C. Bortleson, Marvin O. Fretwell",USGS,technical report,Bortleson and Fretwell 1993.pdf,Upper Klamath Lake
Upper Klamath Lake Drainage Total Maximum Daily Load (TMDL) and Water Quality Management Plan (WQMP),2002,NA,"Matthew Boyd, Steve Kirk, Mike Wiltsey, Brian Kasper",DEQ,TMDL,Boyd et al. 2002.pdf,Upper Klamath Lake
"Limnological and climatic environments at Upper Klamath Lake, Oregon during the past 45 000 years",2003,NA,"J. Platt Bradbury, Steven M. Colman, Walter E. Dean",USGS,journal article,Bradbury et al. 2004a.pdf,Upper Klamath Lake
"The history of recent limnological changes and human impact on Upper Klamath Lake, Oregon",2003,NA,"J. Platt Bradbury, Steven M. Colman, Walter E. Dean",USGS,journal article,Bradbury et al. 2004b.pdf,Upper Klamath Lake
"A Selected Bibliography of Water Related Research in the Upper Klamath Basin, Oregon",1995,NA,"Dorie L. Brownell, Mia R. Rinallo",USGS,technical report,Brownell and Rinallo 1995.pdf,Upper Klamath Lake
WOOD RIVER WETLAND MONITORING REPORT,2003,2005,BLM,BLM,technical report,Bureau of Land Management 2005.pdf,Wood River
Competitive Inhibition for Amino Acid Uptake by the Indigenous Microflora of Upper Klamath Lake,1972,NA,"B. KENT BURNISON, RICHARD Y. MORITA",OSU,journal article,Burnison and Morita 1973.pdf,Upper Klamath Lake
"Environmental Research in the Klamath Basin, Oregon 1991 Annual Report",1993,NA,"S.G. Campbell, W.J. Ehinger",USBR,technical report,Campbell and Ehinger 1993.pdf,Klamath Basin
"Environmental Research in the Klamath Basin, Oregon 1992 Annual Report",1993,NA,"S.G. Campbell, W.J. Ehinger",USBR,technical report,Campbell et al. 1993.pdf,Klamath Basin
"Chapter 6 - The evaluation of wetland changes around upper klamath lake, oregon using multitemporal remote sensing techniques",1993,NA,J.R. Carlson,USBR,technical report,Carlson 1993.pdf,Upper Klamath Lake
"Hydrologic and Water-Quality Conditions During Restoration of the Wood River Wetland, Upper Klamath River Basin, Oregon, 2003–05",2009,NA,"Kurt D. Carpenter, Daniel T. Snyder, John H. Duff, Frank J. Triska, Karl K. Lee, Ronald J. Avanzino, Steven Sobieszczyk","USFWS, USBR",technical report,Carpenter et al. 2009.pdf,Upper Klamath Basin
Analysis of the Distribution and Stability of Existing Marsh Vegetation Bordering Upper Klamath and Agency Lakes,1997,NA,David Chapin,EA,technical report,Chapin 1997.pdf,Upper Klamath Lake
"RELATIONSHIPS BETWEEN FLOOD FREQUENCIES AND RIPARIAN PLANT COMMUNITIES IN THE UPPER KLAMATH BASIN, OREGON",2002,NA,"David M. Chapin, Robert L. Beschta, Hsieh Wen Shen",OSU,journal article,Chapin et al. 2002.pdf,Upper Klamath Basin
"Modeling and Model Validation of Wind-Driven Circulation in Upper Klamath Lake, Oregon",2005,NA,"Ralph T. Cheng, Jeffrey W. Gartner, Tamara Wood",USGS,journal article,Cheng et al. 2005.pdf,Upper Klamath Lake
"Nineteenth-Century Vegetation of Williamson River Delta, Klamath County, Oregon",1996,NA,John A. Christy,NHP,technical report,Christy 1996.pdf,Williamson River Delta
"Nutrient and Sediment Transport on Flood-Irrigated Pasture in the Klamath Basin, Oregon",2010,NA,"D. Ciotti, S. M. Griffith, J. Kann, J. Baham",USFWS,journal article,Ciotti et al. 2010.pdf,Klamath Basin
"Chronology of sediment deposition in Upper Klamath Lake, Oregon",2003,NA,"Steven M. Colman, J. Platt Bradbury, John P. McGeehin, Charles W. Holmes, David Edginton, Andrei M. Sarna-Wojcicki",USGS,journal article,Colman et al. 2004(1).pdf,Upper Klamath Lake
"Paleolimnology and paleoclimate studies in Upper Klamath Lake, Oregon",2003,NA,"Steven M. Colman, J. Platt Bradbury, Joseph G. Rosenbaum",USGS,journal article,"Colman, Bradbury, and Rosenbaum 2004.pdf",Upper Klamath Lake
Natural Flow Estimates for Streams in the Klamath Basin,2004,NA,Richard M. Cooper,WRD,technical report,Cooper 2004.pdf,Klamath Basin
"Benthic Vertical Hydraulic Gradients in Upper Klamath Lake, Oregon, 2017",2020,NA,Nicholas T. Corson-Dosch,USGS,technical report,Corson-Dosch 2020.pdf,Upper Klamath Lake
"Hydrogeology of the Williamson River basin, Upper Klamath Basin, Klamath County, Oregon",2007,NA,Michael L. Cummings,UFWS,technical report,Cummings 2007.pdf,Upper Klamath Basin
Lower Williamson River Floodplain and Delta Restoration: Hydraulic Modeling,2004,NA,"Joseph A. Daraio, Timothy J. Randle, Leslie B. Bach",USBR,technical report,Daraio et al. 2004.pdf,Lower Williamson River
Upper Klamath Basin Watershed Assessment Strategy,2004,NA,David Evans and Associates,KBEF,technical report,David Evans and Associates 2004.pdf,Upper Klamath Basin
Upper Klamath Lake Watershed Assessment,2010,NA,David Evans and Associates,KWP,watershed assessment,David Evans and Associates 2010.pdf,Upper Klamath Lake
Restoring Oregon’s Upper Klamath Sub-Basin: Guidance from Past-Project Evaluations,2013,NA,Carolyn M. Doehring,UCB,technical report,Doehring 2013.pdf,Upper Klamath Basin
Satellite Mapping of Chlorophyll in Upper Klamath Lake,2002,NA,Larry Dunsmoor,Klamath Tribes,technical report,Dunsmoor 2002.pdf,Upper Klamath Lake
"Timing, Duration, and Distribution of Potential Chinook Salmon Spawning and Emergence in Relation to Thermal Regime in the Sprague River Subbasin, Oregon",2012,NA,Larry Dunsmoor,Klamath Tribes,technical report,Dunsmoor 2009.pdf,Sprague River
Upper Sprague Watershed Assessment,2007,NA,"K.U. Snyder, R.B. Raymond, T.J. Sullivan, D.L. Moore, T. McDonnell, D. Vesely, M. Connelly, L. Lyons",KBEF,watershed assessment,E&S Environmental 2007.pdf,Sprague River
Experimental Studies of the Effects of Nutrients and Daphnia Grazing on Phytoplankton Biomass and Growth in a Hypertrophic Lake,1992,NA,William James Ehinger,UNC,technical report,Ehlinger 1992.pdf,Agency Lake
Initial Application of the QUAL2Kw Water Quality Model to the Sprague River,2006,NA,Joseph Eilers and Benn Eilers,Klamath Tribes,technical report,Eilers and Eilers 2006.pdf,Sprague River
