organization_identifier,organization_formal_name,activity_start_date,activity_start_time_time,activity_start_time_time_zone_code,monitoring_location_identifier,characteristic_name,subject_taxonomic_name,result_measure_value,result_measure_measure_unit_code,result_status_identifier,result_analytical_method_method_name,provider_name,monitoring_location_name,monitoring_location_type_name,huc_eight_digit_code,latitude_measure,longitude_measure
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-10-17,13:38:00,PDT,KLAMATHTRIBES_WQX-SR0140,Dissolved oxygen (DO),NA,10.56,mg/L,Final,NA,STORET,NORTH FORK SPRAGUE RIVER AT IVORY PINE ROAD,River/Stream,18010202,42.456306,-121.111667
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-02-10,13:35:00,PDT,KLAMATHTRIBES_WQX-SR0090,"Total Phosphorus, mixed forms",NA,48,ug/L,Final,Phosphorus by Colorimetry,STORET,SPRAGUE RIVER AT CHILOQUIN RIDGE ROAD,River/Stream,18010202,42.584639,-121.841861
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-05-23,10:23:00,PDT,KLAMATHTRIBES_WQX-KL0002,Phosphorus,NA,82,ug/L,Final,"Nitrogen and Phosphorus, Total, Whole-water, Alkaline Persulfate Digest",STORET,UPPER KLAMATH LAKE AT PELICAN MARINA,Lake,18010203,42.241722,-121.822306
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-11-01,11:28:00,PDT,KLAMATHTRIBES_WQX-SR0060,Total suspended solids,NA,4.4,mg/L,Final,Non-Filterable Residue - TSS,STORET,SPRAGUE RIVER AT GODOWA ROAD,River/Stream,18010202,42.460389,-121.269861
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-07-18,14:29:00,PDT,KLAMATHTRIBES_WQX-KL0011,Dissolved oxygen saturation,NA,111.23518711302,%,Final,NA,STORET,AGENCY LAKE NORTH,Lake,18010203,42.560556,-121.947444
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-04-26,11:37:00,PDT,KLAMATHTRIBES_WQX-KL0004,Water Temperature,NA,10.01,deg C,Final,NA,STORET,UPPER KLAMATH LAKE AT WOCUS BAY,Lake,18010203,42.32689,-121.919922
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-01-26,13:30:00,PDT,KLAMATHTRIBES_WQX-SR0070,Dissolved oxygen saturation,NA,103.7,%,Final,NA,STORET,SYCAN RIVER AT DREWS ROAD,River/Stream,18010202,42.48522,-121.27843
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-10-19,09:44:00,PDT,KLAMATHTRIBES_WQX-SR0080,pH,NA,7.52,count,Final,NA,STORET,SPRAGUE RIVER AT LONE PINE,River/Stream,18010202,42.5505,-121.617611
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-06-28,09:07:00,PDT,KLAMATHTRIBES_WQX-SR0060,Dissolved oxygen saturation,NA,99.6,%,Final,NA,STORET,SPRAGUE RIVER AT GODOWA ROAD,River/Stream,18010202,42.460389,-121.269861
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-07-06,14:15:00,PDT,KLAMATHTRIBES_WQX-KL0009,"Light, photosynthetic active radiation (PAR)",NA,0.79,uE/m2/sec,Final,NA,STORET,UPPER KLAMATH LAKE AT COON POINT,Lake,18010203,42.435722,-122.028194
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-01-20,13:10:00,PDT,KLAMATHTRIBES_WQX-SR0080,Conductivity,NA,91,mS/cm,Final,NA,STORET,SPRAGUE RIVER AT LONE PINE,River/Stream,18010202,42.5505,-121.617611
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-09-08,12:10:00,PDT,KLAMATHTRIBES_WQX-SR0150,Conductivity,NA,149,mS/cm,Final,NA,STORET,SOUTH FORK SPRAGUE RIVER AT IVORY PINE ROAD,River/Stream,18010202,42.43941,-121.09544
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-09-13,11:11:00,PDT,KLAMATHTRIBES_WQX-KL0005,Dissolved oxygen saturation,NA,95.7997891215735,%,Final,NA,STORET,UPPER KLAMATH LAKE AT MID-LAKE,Lake,18010203,42.369083,-121.848694
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-05-03,12:43:00,PDT,KLAMATHTRIBES_WQX-SR0070,Total suspended solids,NA,2.36,mg/L,Final,Non-Filterable Residue - TSS,STORET,SYCAN RIVER AT DREWS ROAD,River/Stream,18010202,42.48522,-121.27843
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-04-26,14:50:00,PDT,KLAMATHTRIBES_WQX-KL0010,Conductivity,NA,103,mS/cm,Final,NA,STORET,AGENCY LAKE SOUTH,Lake,18010203,42.523583,-121.984278
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-10-17,10:25:00,PDT,KLAMATHTRIBES_WQX-SR0050,pH,NA,7.63,count,Final,NA,STORET,SOUTH FORK SPRAGUE RIVER AT PICNIC AREA,River/Stream,18010202,42.376056,-120.969444
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-09-08,12:10:00,PDT,KLAMATHTRIBES_WQX-SR0150,Dissolved oxygen (DO),NA,8.64,mg/L,Final,NA,STORET,SOUTH FORK SPRAGUE RIVER AT IVORY PINE ROAD,River/Stream,18010202,42.43941,-121.09544
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-05-09,09:36:00,PDT,KLAMATHTRIBES_WQX-KL0001,Chlorophyll a,NA,12.1345196777645,ug/L,Final,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,STORET,UPPER KLAMATH LAKE AT FREMONT BRIDGE,Lake,18010203,42.23861,-121.80588
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-05-09,14:13:00,PDT,KLAMATHTRIBES_WQX-KL0009,Ammonia-nitrogen,NA,45,ug/L,Final,"Nitrogen, ammonia, dissolved, low ionic-strength, colorimetric, ASF",STORET,UPPER KLAMATH LAKE AT COON POINT,Lake,18010203,42.435722,-122.028194
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-10-25,14:56:00,PDT,KLAMATHTRIBES_WQX-KL0011,Water Temperature,NA,7.6,deg C,Final,NA,STORET,AGENCY LAKE NORTH,Lake,18010203,42.560556,-121.947444
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-09-19,10:20:00,PDT,KLAMATHTRIBES_WQX-SR0050,pH,NA,7.72,count,Final,NA,STORET,SOUTH FORK SPRAGUE RIVER AT PICNIC AREA,River/Stream,18010202,42.376056,-120.969444
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-08-01,14:11:00,PDT,KLAMATHTRIBES_WQX-KL0010,Conductivity,NA,113,mS/cm,Final,NA,STORET,AGENCY LAKE SOUTH,Lake,18010203,42.523583,-121.984278
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-10-25,12:27:00,PDT,KLAMATHTRIBES_WQX-KL0006,Water Temperature,NA,8.36,deg C,Final,NA,STORET,UPPER KLAMATH LAKE AT EAGLE RIDGE,Lake,18010203,42.422083,-121.943278
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-12-16,10:09:00,PDT,KLAMATHTRIBES_WQX-SR0040,Water Temperature,NA,1.7,deg C,Final,NA,STORET,NORTH FORK SPRAGUE RIVER AT FS 3411 ROAD,River/Stream,18010202,42.49672,-121.005556
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-07-26,11:00:00,PDT,KLAMATHTRIBES_WQX-SR0060,Ammonia-nitrogen,NA,6,ug/L,Final,"Nitrogen, ammonia, dissolved, low ionic-strength, colorimetric, ASF",STORET,SPRAGUE RIVER AT GODOWA ROAD,River/Stream,18010202,42.460389,-121.269861
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-06-06,13:21:00,PDT,KLAMATHTRIBES_WQX-KL0008,pH,NA,8.76,count,Final,NA,STORET,UPPER KLAMATH LAKE AT MID-LAKE NORTH,Lake,18010203,42.441361,-121.998833
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-06-21,13:00:00,PDT,KLAMATHTRIBES_WQX-KL0007,Conductivity,NA,117,mS/cm,Final,NA,STORET,UPPER KLAMATH LAKE AT SHOAL WATER BAY,Lake,18010203,42.40725,-121.963083
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-06-06,10:21:00,PDT,KLAMATHTRIBES_WQX-KL0003,Water Temperature,NA,21.07,deg C,Final,NA,STORET,UPPER KLAMATH LAKE AT NORTH BUCK ISLAND,Lake,18010203,42.308389,-121.856222
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2016-05-09,11:18:00,PDT,KLAMATHTRIBES_WQX-KL0004,Dissolved oxygen saturation,NA,99.9169056782926,%,Final,NA,STORET,UPPER KLAMATH LAKE AT WOCUS BAY,Lake,18010203,42.32689,-121.919922
