organization_identifier,organization_formal_name,activity_start_date,activity_start_time_time,activity_start_time_time_zone_code,monitoring_location_identifier,characteristic_name,subject_taxonomic_name,result_measure_value,result_measure_measure_unit_code,result_status_identifier,result_analytical_method_method_name,provider_name,monitoring_location_name,monitoring_location_type_name,huc_eight_digit_code,latitude_measure,longitude_measure
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2000-08-09,12:32:00,PDT,KLAMATHTRIBES_WQX-KL0009,Conductivity,NA,104,mS/cm,Final,NA,STORET,UPPER KLAMATH LAKE AT COON POINT,Lake,18010203,42.435722,-122.028194
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2000-05-31,13:30:00,PDT,KLAMATHTRIBES_WQX-KL0007,Dissolved oxygen (DO),NA,9.98,mg/L,Final,NA,STORET,UPPER KLAMATH LAKE AT SHOAL WATER BAY,Lake,18010203,42.40725,-121.963083
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2000-09-19,13:10:00,PDT,KLAMATHTRIBES_WQX-KL0007,Water Temperature,NA,19.57,deg C,Final,NA,STORET,UPPER KLAMATH LAKE AT SHOAL WATER BAY,Lake,18010203,42.40725,-121.963083
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2000-08-22,12:20:00,PDT,KLAMATHTRIBES_WQX-KL0006,Dissolved oxygen (DO),NA,5.2,mg/L,Final,NA,STORET,UPPER KLAMATH LAKE AT EAGLE RIDGE,Lake,18010203,42.422083,-121.943278
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2000-09-19,13:30:00,PDT,KLAMATHTRIBES_WQX-KL0008,Chlorophyll a,NA,95,ug/L,Final,10200 H ~ Chlorophyll a-b-c Determination,STORET,UPPER KLAMATH LAKE AT MID-LAKE NORTH,Lake,18010203,42.441361,-121.998833
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2000-07-27,11:43:00,PDT,KLAMATHTRIBES_WQX-KL0005,Phosphorus,NA,204.5,ug/L,Final,4500 P F ~ Phosphorus in Water by Colorimetry Automated Ascorbic Acid Method,STORET,UPPER KLAMATH LAKE AT MID-LAKE,Lake,18010203,42.369083,-121.848694
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2000-08-22,13:07:00,PDT,KLAMATHTRIBES_WQX-KL0008,Dissolved oxygen (DO),NA,4.1,mg/L,Final,NA,STORET,UPPER KLAMATH LAKE AT MID-LAKE NORTH,Lake,18010203,42.441361,-121.998833
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2000-07-27,12:56:00,PDT,KLAMATHTRIBES_WQX-KL0008,Water Temperature,NA,20.47,deg C,Final,NA,STORET,UPPER KLAMATH LAKE AT MID-LAKE NORTH,Lake,18010203,42.441361,-121.998833
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2000-09-05,14:28:00,PDT,KLAMATHTRIBES_WQX-KL0011,Dissolved oxygen (DO),NA,8.45,mg/L,Final,NA,STORET,AGENCY LAKE NORTH,Lake,18010203,42.560556,-121.947444
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),2000-04-12,10:40:00,PDT,KLAMATHTRIBES_WQX-KL0003,"Light, photosynthetic active radiation (PAR)",NA,102.569557796742,uE/m2/sec,Final,NA,STORET,UPPER KLAMATH LAKE AT NORTH BUCK ISLAND,Lake,18010203,42.308389,-121.856222
