DATE,Site Name,Site #,Duplicate site? (Y/N),JD,CJD,MO,DAY,YR,TIME,Q (cfs),Staff Gage (ft),TEMP (?C),COND (microS/cm),DO (mg/L),PH,PSAT (%),TP (microg/L),PO4 (microg/L),NH4 (microg/L),NO2 (microg/L),NO3+NO2 (microg/L),TN (microg/L),SiO2 (microg/L),TSS (mg/L),Turbidity (NTU),Notes
31-May-01,Sycan R @ Drews Rd,SR0070,NA,151,151,5,31,2001,NA,25.2,NA,20.33,101,10.24,8.53,129.4,56,36,3,NA,39,434,NA,NA,NA,NA
13-Jun-01,Sprague R @ Lone Pine,SR0080,NA,164,164,6,13,2001,1230,136,1.11,15.75,152,9.64,8.72,112,56,35,NA,NA,4,384,NA,NA,NA,NA
13-Jun-01,Sprague R @ Power Plant,SR0090,NA,164,164,6,13,2001,930,170,NA,14.95,125,9.16,8.77,105.4,58,40,36,NA,4,247,NA,NA,NA,NA
14-Jun-01,NF Sprague @ 3411 Rd,SR0040,NA,165,165,6,14,2001,1140,51.8,0.76,10.34,55,10.69,7.72,108.4,52,43,3,NA,4,50,NA,NA,NA,NA
14-Jun-01,SF Sprague @ Picnic Area,SR0050,NA,165,165,6,14,2001,1020,21.2,NA,12.74,90,9.95,7.89,108.3,42,29,3,NA,4,50,NA,NA,NA,NA
14-Jun-01,Sycan R @ Drews Rd,SR0070,NA,165,165,6,14,2001,1335,16.2,NA,19.53,112,12.54,8.93,155.3,55,33,3,NA,4,195,NA,NA,NA,NA
26-Jun-01,Sprague R @ Lone Pine,SR0080,NA,177,177,6,26,2001,1300,96.9,0.88,16.19,152,9.85,9.23,116.1,31,18,NA,NA,4,326,NA,NA,NA,NA
26-Jun-01,Sprague R @ Power Plant,SR0090,NA,177,177,6,26,2001,943,190,NA,15.24,122,9.48,9.11,110.5,42,31,3,NA,4,216,NA,NA,NA,NA
27-Jun-01,NF Sprague @ 3411 Rd,SR0040,NA,178,178,6,27,2001,1200,59.9,0.83,9.25,54,10.66,7.6,106.3,55,49,3,NA,19,167,NA,NA,NA,NA
27-Jun-01,SF Sprague @ Picnic Area,SR0050,NA,178,178,6,27,2001,1157,17.3,NA,12.87,93,9.4,7.82,103.5,36,NA,3,NA,15,50,NA,NA,NA,NA
27-Jun-01,Sprague R @ Godowa Rd,SR0060,NA,178,178,6,27,2001,NA,172,NA,14.28,129,9.36,8.19,106.7,53,43,3,NA,10,143,NA,NA,NA,NA
27-Jun-01,Sycan R @ Drews Rd,SR0070,NA,178,178,6,27,2001,1346,23.8,NA,13.72,119,9.73,8.16,108.1,44,35,3,NA,32,183,NA,NA,NA,NA
11-Jul-01,Sprague R @ Lone Pine,SR0080,NA,192,192,7,11,2001,1400,135,1.05,22.53,154,9.06,8.66,121.5,60,37,14,NA,4,424,NA,NA,NA,NA
11-Jul-01,Sprague R @ Power Plant,SR0090,NA,192,192,7,11,2001,1100,153,NA,21.65,124,9.67,9.05,128.7,54,34,3,NA,4,301,NA,NA,NA,NA
12-Jul-01,NF Sprague @ 3411 Rd,SR0040,NA,193,193,7,12,2001,1200,42.4,0.69,12.21,59,9.8,7.65,105,54,50,3,NA,4,50,NA,NA,NA,NA
12-Jul-01,SF Sprague @ Picnic Area,SR0050,NA,193,193,7,12,2001,1046,14,NA,16.11,100,8.98,7.76,106,39,34,3,NA,4,56,NA,NA,NA,NA
12-Jul-01,Sprague R @ Godowa Rd,SR0060,NA,193,193,7,12,2001,1428,139,NA,21.27,129,10.87,8.61,142.6,71,54,40,NA,4,366,NA,NA,NA,NA
12-Jul-01,Sycan R @ Drews Rd,SR0070,NA,193,193,7,12,2001,1340,23.2,NA,21.54,124,12.65,8.87,166.4,61,48,NA,NA,4,307,NA,NA,NA,NA
24-Jul-01,Sprague R @ Lone Pine,SR0080,NA,205,205,7,24,2001,1230,107,0.92,22.38,134,8.86,9.24,117.6,55,35,41,NA,4,306,NA,NA,NA,NA
24-Jul-01,Sprague R @ Power Plant,SR0090,NA,205,205,7,24,2001,900,147,NA,19.52,119,8.21,9.23,103.7,48,32,23,NA,4,180,NA,NA,NA,NA
25-Jul-01,NF Sprague @ 3411 Rd,SR0040,NA,206,206,7,25,2001,NA,39.4,0.67,11.27,59,10.76,7.75,113.3,59,46,10,NA,4,50,NA,NA,NA,NA
25-Jul-01,SF Sprague @ Picnic Area,SR0050,NA,206,206,7,25,2001,950,11.1,NA,16.53,105,9.28,7.97,110.1,38,33,10,NA,4,50,NA,NA,NA,NA
25-Jul-01,Sprague R @ Godowa Rd,SR0060,NA,206,206,7,25,2001,1330,106,NA,22.21,121,11.61,8.9,155.1,64,47,19,NA,4,50,NA,NA,NA,NA
25-Jul-01,Sycan R @ Drews Rd,SR0070,NA,206,206,7,25,2001,1230,18.6,NA,21.74,122,11.86,9.08,156.5,61,42,20,NA,12,207,NA,NA,NA,NA
22-Aug-01,NF Sprague @ 3411 Rd,SR0040,NA,234,234,8,22,2001,1216,41.4,0.66,10.81,58,9.84,7.6,103.7,61,NA,NA,NA,4,NA,NA,NA,NA,NA
22-Aug-01,SF Sprague @ Picnic Area,SR0050,NA,234,234,8,22,2001,1057,9.33,NA,10.25,103,8.99,7.99,106.9,35,39,42,NA,4,146,NA,NA,NA,NA
22-Aug-01,Sprague R @ Godowa Rd,SR0060,NA,234,234,8,22,2001,1432,105,NA,19.77,111,9.64,8.48,123.4,58,63,20,NA,4,177,NA,NA,NA,NA
22-Aug-01,Sycan R @ Drews Rd,SR0070,NA,234,234,8,22,2001,1349,22,NA,19.99,116,11.24,8.78,144.1,53,49,22,NA,19,260,NA,NA,NA,NA
23-Aug-01,Sprague R @ Lone Pine,SR0080,NA,235,235,8,23,2001,1319,88.9,0.84,18.7,133,9.18,8.81,114.6,53,46,NA,NA,4,430,NA,NA,NA,NA
23-Aug-01,Sprague R @ Power Plant,SR0090,NA,235,235,8,23,2001,1143,117,NA,17.24,120,9.43,8.5,114,57,59,19,NA,4,415,NA,NA,NA,NA
05-Sep-01,Sprague R @ Lone Pine,SR0080,NA,248,248,9,5,2001,1011,78.2,0.78,18.23,151,8.33,8.92,97.8,44,NA,3,NA,10,341,NA,NA,NA,NA
05-Sep-01,Sprague R @ Power Plant,SR0090,NA,248,248,9,5,2001,827,128,NA,16.43,129,7.73,8.46,91.8,54,42,3,NA,10,279,NA,NA,NA,NA
06-Sep-01,NF Sprague @ 3411 Rd,SR0040,NA,249,249,9,6,2001,1040,40.1,0.65,6.41,60,11.65,7.79,108.1,48,49,3,NA,10,50,NA,NA,NA,NA
06-Sep-01,SF Sprague @ Picnic Area,SR0050,NA,249,249,9,6,2001,925,9.62,NA,9.48,108,10.13,7.44,102.4,24,23,3,NA,10,50,NA,NA,NA,NA
06-Sep-01,Sprague R @ Godowa Rd,SR0060,NA,249,249,9,6,2001,1259,109,NA,16.62,129,9.91,8.58,115.4,50,44,3,NA,10,159,NA,NA,NA,NA
06-Sep-01,Sycan R @ Drews Rd,SR0070,NA,249,249,9,6,2001,1217,16.3,NA,14.11,120,11.31,8.69,125.3,49,42,3,NA,25,191,NA,NA,NA,NA
18-Sep-01,NF Sprague @ 3411 Rd,SR0040,NA,261,261,9,18,2001,1108,37.6,0.65,8.08,59,10.76,7.64,105.5,50,48,10,NA,19,50,NA,NA,NA,NA
18-Sep-01,SF Sprague @ Picnic Area,SR0050,NA,261,261,9,18,2001,NA,10.6,NA,11.61,107,9.78,7.29,103.9,28,28,10,NA,14,119,NA,NA,NA,NA
18-Sep-01,Sprague R @ Godowa Rd,SR0060,NA,261,261,9,18,2001,NA,128,NA,18.4,124,9.71,8.36,119.7,54,48,22,NA,19,236,NA,NA,NA,NA
18-Sep-01,Sycan R @ Drews Rd,SR0070,NA,261,261,9,18,2001,1250,16.7,NA,16.27,130,11.42,8.55,135,55,55,40,NA,29,295,NA,NA,NA,NA
19-Sep-01,Sprague R @ Lone Pine,SR0080,NA,262,262,9,19,2001,1339,129,1.03,17.06,159,9.31,8.39,111.3,46,37,12,NA,13,431,NA,NA,NA,NA
19-Sep-01,Sprague R @ Power Plant,SR0090,NA,262,262,9,19,2001,1040,159,NA,15.12,139,8.52,8.06,97.9,57,43,33,NA,13,395,NA,NA,NA,NA
02-Oct-01,NF Sprague @ 3411 Rd,SR0040,NA,275,275,10,2,2001,1053,39.3,0.65,7.28,60,11.55,7.66,108.8,56,52,3,NA,4,127,NA,NA,NA,NA
02-Oct-01,SF Sprague @ Picnic Area,SR0050,NA,275,275,10,2,2001,956,10.6,NA,9.88,107,10.68,7.58,107,32,22,3,NA,4,139,NA,NA,NA,NA
02-Oct-01,Sprague R @ Godowa Rd,SR0060,NA,275,275,10,2,2001,1308,159,NA,16.29,111,9.69,8.3,114.5,56,43,17,NA,4,165,NA,NA,NA,NA
02-Oct-01,Sycan R @ Drews Rd,SR0070,NA,275,275,10,2,2001,1226,24.4,NA,13.95,129,11.17,8.28,124.4,56,45,19,NA,13,278,NA,NA,NA,NA
03-Oct-01,Sprague R @ Lone Pine,SR0080,NA,276,276,10,3,2001,1126,130,1.05,14.02,140,9.11,8.21,101.4,40,29,3,NA,4,315,NA,NA,NA,NA
03-Oct-01,Sprague R @ Power Plant,SR0090,NA,276,276,10,3,2001,925,197,NA,12.78,132,8.86,8.04,95.9,54,40,13,NA,4,291,NA,NA,NA,NA
16-Oct-01,NF Sprague @ 3411 Rd,SR0040,NA,289,289,10,16,2001,1040,37.8,0.66,6.29,60,11.53,7.71,108.3,54,46,10,NA,13,140,NA,NA,NA,NA
16-Oct-01,SF Sprague @ Picnic Area,SR0050,NA,289,289,10,16,2001,925,10.3,NA,7.2,106,10.99,7.77,105.8,31,22,11,NA,4,NA,NA,NA,NA,NA
16-Oct-01,Sprague R @ Godowa Rd,SR0060,NA,289,289,10,16,2001,1250,197,NA,11.9,99,10.81,8.14,114.3,50,41,12,NA,18,102,NA,NA,NA,NA
16-Oct-01,Sycan R @ Drews Rd,SR0070,NA,289,289,10,16,2001,1210,25.1,NA,10.4,128,11.2,8.41,116.6,55,45,22,NA,25,221,NA,NA,NA,NA
17-Oct-01,Sprague R @ Lone Pine,SR0080,NA,290,290,10,17,2001,1115,198,1.38,9.98,124,10.47,8.1,104,41,29,NA,NA,4,235,NA,NA,NA,NA
17-Oct-01,Sprague R @ Power Plant,SR0090,NA,290,290,10,17,2001,910,189,NA,9.7,122,9.91,8.17,100.5,44,33,22,NA,4,254,NA,NA,NA,NA
14-Nov-01,NF Sprague @ 3411 Rd,SR0040,NA,318,318,11,14,2001,1055,38.3,0.66,5.75,58,12.41,7.92,112.6,58,49,3,NA,4,50,NA,NA,NA,NA
14-Nov-01,SF Sprague @ Picnic Area,SR0050,NA,318,318,11,14,2001,945,13.5,NA,5.47,101,11.29,7.72,103.9,34,29,3,NA,4,50,NA,NA,NA,NA
14-Nov-01,Sprague R @ Godowa Rd,SR0060,NA,318,318,11,14,2001,1320,176,NA,9.67,97,11.56,8.42,115.2,54,44,3,NA,22,101,NA,NA,NA,NA
14-Nov-01,Sycan R @ Drews Rd,SR0070,NA,318,318,11,14,2001,1245,29,NA,7.57,151,12.15,7.99,116.3,70,57,3,NA,32,337,NA,NA,NA,NA
15-Nov-01,Sprague R @ Lone Pine,SR0080,NA,319,319,11,15,2001,1135,238,1.5,6.43,117,11.35,8.06,105,44,34,3,NA,4,156,NA,NA,NA,NA
15-Nov-01,Sprague R @ Power Plant,SR0090,NA,319,319,11,15,2001,930,243,NA,6.21,111,10.96,7.77,102.3,47,35,3,NA,4,136,NA,NA,NA,NA
27-Nov-01,NF Sprague @ 3411 Rd,SR0040,NA,331,331,11,27,2001,1050,35.5,0.62,0.77,59,NA,7.87,110.2,55,47,12,NA,14,50,NA,NA,NA,NA
27-Nov-01,SF Sprague @ Picnic Area,SR0050,NA,331,331,11,27,2001,943,4.78,NA,-0.05,100,13.29,7.91,104.6,35,29,10,NA,10,50,NA,NA,NA,NA
27-Nov-01,Sprague R @ Godowa Rd,SR0060,NA,331,331,11,27,2001,1325,163,NA,5.78,98,12.6,8.39,110.1,55,44,3,NA,31,152,NA,NA,NA,NA
27-Nov-01,Sycan R @ Drews Rd,SR0070,NA,331,331,11,27,2001,1230,20.2,NA,2.53,131,12.97,8.13,109.9,54,45,NA,NA,38,259,NA,NA,NA,NA
28-Nov-01,Sprague R @ Lone Pine,SR0080,NA,332,332,11,28,2001,955,251,1.54,0.07,126,13.09,8.28,103.7,55,41,3,NA,10,212,NA,NA,NA,NA
28-Nov-01,Sprague R @ Power Plant,SR0090,NA,332,332,11,28,2001,1250,267,NA,0.29,120,12.75,8.52,102.8,64,46,34,NA,4,294,NA,NA,NA,NA
10-Dec-01,NF Sprague @ 3411 Rd,SR0040,NA,344,344,12,10,2001,1037,43.3,0.69,1.45,58,12.65,7.61,105.6,53,49,3,NA,4,50,NA,NA,NA,NA
10-Dec-01,Sprague R @ Godowa Rd,SR0060,NA,344,344,12,10,2001,1330,171,NA,5.06,111,12.75,8.3,113.1,59,48,3,NA,35,250,NA,NA,NA,NA
10-Dec-01,Sycan R @ Drews Rd,SR0070,NA,344,344,12,10,2001,1223,28.3,NA,2.08,143,12.74,7.79,105.9,62,52,18,NA,46,354,NA,NA,NA,NA
11-Dec-01,Sprague R @ Power Plant,SR0090,NA,345,345,12,11,2001,1028,302,NA,0.25,151,13.02,8.56,103.6,69,57,3,NA,4,277,NA,NA,NA,NA
09-Jan-02,NF Sprague @ 3411 Rd,SR0040,NA,9,374,1,9,2002,1130,54,0.79,1.99,55.2,11.92,7.59,100.5,57,47,NA,NA,20,111,NA,NA,NA,NA
09-Jan-02,SF Sprague @ Picnic Area,SR0050,NA,9,374,1,9,2002,1000,35.8,NA,1.15,83.9,12.5,7.46,103.2,54,32,3,NA,NA,NA,NA,NA,NA,NA
09-Jan-02,Sprague R @ Godowa Rd,SR0060,NA,9,374,1,9,2002,1413,492,NA,5.29,87.9,10.51,7.65,94.2,81,51,10,NA,23,408,NA,NA,NA,NA
09-Jan-02,Sycan R @ Drews Rd,SR0070,NA,9,374,1,9,2002,1257,247,NA,1.08,51.4,11.71,7.47,96,66,28,3,NA,4,509,NA,NA,NA,NA
10-Jan-02,Sprague R @ Lone Pine,SR0080,NA,10,375,1,10,2002,1000,960,3.68,2.19,93.9,10.31,7.72,85.6,96,56,11,NA,27,574,NA,NA,NA,NA
10-Jan-02,Sprague R @ Power Plant,SR0090,NA,10,375,1,10,2002,1310,867,NA,2.9,94.7,10.81,7.45,91.5,110,64,16,NA,32,706,NA,NA,NA,NA
23-Jan-02,NF Sprague @ 3411 Rd,SR0040,NA,23,388,1,23,2002,1044,45.2,0.69,1.9,53.2,12.34,7.49,104.6,55,46,3,NA,10,50,NA,NA,NA,NA
23-Jan-02,Sprague R @ Godowa Rd,SR0060,NA,23,388,1,23,2002,1309,218,NA,6.5,98.3,11.52,7.87,109.8,65,47,3,NA,46,140,NA,NA,NA,NA
23-Jan-02,Sycan R @ Drews Rd,SR0070,NA,23,388,1,23,2002,1220,37.6,NA,3.3,119.5,11.44,7.43,100.2,69,49,3,NA,67,380,NA,NA,NA,NA
24-Jan-02,Sprague R @ Lone Pine,SR0080,NA,24,389,1,24,2002,1115,282,1.61,1.29,111.8,11.5,7.67,94,79,50,3,NA,48,237,NA,NA,NA,NA
24-Jan-02,Sprague R @ Power Plant,SR0090,NA,24,389,1,24,2002,1305,272,NA,NA,NA,NA,NA,NA,74,53,3,NA,53,236,NA,NA,NA,NA
04-Feb-02,NF Sprague @ 3411 Rd,SR0040,NA,35,400,2,4,2002,1039,40.1,0.65,0.78,52.3,12.17,7.39,104.4,57,50,3,NA,22,50,NA,NA,NA,NA
04-Feb-02,Sprague R @ Godowa Rd,SR0060,NA,35,400,2,4,2002,1301,185,NA,6.88,92.4,11.23,7.9,106.4,60,50,3,NA,44,125,NA,NA,NA,NA
04-Feb-02,Sycan R @ Drews Rd,SR0070,NA,35,400,2,4,2002,1208,29.4,NA,3.51,128.9,11.66,7.55,101.3,72,56,23,NA,71,288,NA,NA,NA,NA
05-Feb-02,Sprague R @ Lone Pine,SR0080,NA,36,401,2,5,2002,1130,238,1.43,0.46,107.9,12.2,7.4,98.1,64,50,3,NA,44,162,NA,NA,NA,NA
05-Feb-02,Sprague R @ Power Plant,SR0090,NA,36,401,2,5,2002,940,246,NA,0.31,108.3,12.88,7.43,102.6,70,52,3,NA,49,201,NA,NA,NA,NA
20-Feb-02,NF Sprague @ 3411 Rd,SR0040,NA,51,416,2,20,2002,1050,42.7,0.7,3.4,51,11.46,7.46,100.3,59,49,3,NA,23,157,NA,NA,NA,NA
20-Feb-02,SF Sprague @ Picnic Area,SR0050,NA,51,416,2,20,2002,940,42.7,NA,1.17,65.8,12.7,7.35,104.4,104,43,NA,NA,35,618,NA,NA,NA,NA
20-Feb-02,Sprague R @ Godowa Rd,SR0060,NA,51,416,2,20,2002,1330,341,NA,7.24,107.5,9.64,7.67,92.9,76,48,3,NA,40,374,NA,NA,NA,NA
20-Feb-02,Sycan R @ Drews Rd,SR0070,NA,51,416,2,20,2002,1225,69.8,NA,4.38,130.9,10.5,7.31,94.2,101,58,17,NA,45,613,NA,NA,NA,NA
21-Feb-02,Sprague R @ Lone Pine,SR0080,NA,52,417,2,21,2002,1100,630,2.65,5.62,138.5,10.62,7.55,98,115,53,NA,NA,30,591,NA,NA,NA,NA
21-Feb-02,Sprague R @ Power Plant,SR0090,NA,52,417,2,21,2002,903,414,NA,5.45,121.2,11.09,7.66,101.7,79,53,3,NA,12,347,NA,NA,NA,NA
25-Feb-02,Sprague R @ Godowa Rd,SR0060,NA,56,421,2,25,2002,1100,377,NA,6.89,89.4,10.62,7.62,100.4,75,41,11,NA,41,295,NA,NA,NA,NA
25-Feb-02,Sycan R @ Drews Rd,SR0070,NA,56,421,2,25,2002,1250,166,NA,2.43,50.6,12.88,7.32,107.9,68,25,39,NA,24,445,NA,NA,NA,NA
26-Feb-02,Sprague R @ Power Plant,SR0090,NA,57,422,2,26,2002,1125,682,NA,4.81,113.6,10.87,NA,97.5,118,57,46,NA,48,553,NA,NA,NA,NA
12-Mar-02,NF Sprague @ 3411 Rd,SR0040,NA,71,436,3,12,2002,1100,46.5,0.74,3.73,49.5,11.63,7.41,103.1,59,47,3,NA,10,50,NA,NA,NA,NA
12-Mar-02,SF Sprague @ Picnic Area,SR0050,NA,71,436,3,12,2002,943,35.4,NA,3.49,76.6,11.97,7.55,105.3,59,33,18,NA,16,198,NA,NA,NA,NA
12-Mar-02,Sprague R @ Godowa Rd,SR0060,NA,71,436,3,12,2002,1355,392,NA,8.79,92.4,10.95,7.97,111.5,78,46,NA,NA,29,234,NA,NA,NA,NA
12-Mar-02,Sycan R @ Drews Rd,SR0070,NA,71,436,3,12,2002,1235,181,NA,5.12,62,11.38,7.47,104.2,58,22,62,NA,14,506,NA,NA,NA,NA
13-Mar-02,Sprague R @ Lone Pine,SR0080,NA,72,437,3,13,2002,1123,593,2.52,4.81,109.2,10.44,7.62,95.3,74,42,15,NA,14,278,NA,NA,NA,NA
13-Mar-02,Sprague R @ Power Plant,SR0090,NA,72,437,3,13,2002,915,395,NA,4.8,104.4,10.46,7.65,95.1,73,48,46,NA,13,253,NA,NA,NA,NA
27-Mar-02,NF Sprague @ 3411 Rd,SR0040,NA,86,451,3,27,2002,1030,48.3,0.76,3.41,51.3,12.4,7.68,108.5,52,42,3,NA,4,50,NA,NA,NA,NA
27-Mar-02,SF Sprague @ Picnic Area,SR0050,NA,86,451,3,27,2002,910,49.3,NA,2.92,73.5,12.2,7.51,109,48,26,3,NA,4,201,NA,NA,NA,NA
27-Mar-02,Sprague R @ Godowa Rd,SR0060,NA,86,451,3,27,2002,1330,396,NA,11.34,83.8,10.03,8.24,107,62,38,3,NA,24,218,NA,NA,NA,NA
27-Mar-02,Sycan R @ Drews Rd,SR0070,NA,86,451,3,27,2002,1157,173,NA,7.73,58.2,10.35,7.59,101.3,54,21,3,NA,18,564,NA,NA,NA,NA
28-Mar-02,Sprague R @ Lone Pine,SR0080,NA,87,452,3,28,2002,1045,591,2.64,8.29,82.9,9.83,7.59,97,69,34,3,NA,10,381,NA,NA,NA,NA
28-Mar-02,Sprague R @ Power Plant,SR0090,NA,87,452,3,28,2002,905,507,NA,8.69,84.5,9.86,7.51,97.9,74,47,29,NA,11,397,NA,NA,NA,NA
09-Apr-02,NF Sprague @ 3411 Rd,SR0040,NA,99,464,4,9,2002,1045,200,1.74,3.77,34.7,11.21,7.09,99.9,80,31,16,NA,19,294,NA,NA,NA,NA
09-Apr-02,SF Sprague @ Picnic Area,SR0050,NA,99,464,4,9,2002,910,188,NA,5.28,53.7,11.58,7.15,107.3,70,23,20,NA,75,367,NA,NA,NA,NA
09-Apr-02,Sycan R @ Drews Rd,SR0070,NA,99,464,4,9,2002,1235,192,NA,11.33,63,8.71,7.26,93.2,53,21,23,NA,18,561,NA,NA,NA,NA
10-Apr-02,Sprague R @ Godowa Rd,SR0060,NA,100,465,4,10,2002,855,783,NA,8.24,67,9.56,8.37,94.2,100,34,53,NA,72,496,NA,NA,NA,NA
10-Apr-02,Sprague R @ Lone Pine,SR0080,NA,100,465,4,10,2002,1055,898,3.55,9.37,75,8.98,8.51,91,76,35,35,NA,37,418,NA,NA,NA,NA
10-Apr-02,Sprague R @ Power Plant,SR0090,NA,100,465,4,10,2002,1320,742,NA,11.75,78,9.27,8.75,99.1,84,44,43,NA,41,507,NA,NA,NA,NA
15-Apr-02,Sprague R @ Godowa Rd,SR0060,NA,105,470,4,15,2002,1310,1310,NA,7.11,45.5,9.02,7.11,88.2,164,50,66,NA,83,670,NA,NA,NA,NA
15-Apr-02,Sycan R @ Drews Rd,SR0070,NA,105,470,4,15,2002,1102,388,NA,10,52.6,9.32,7.48,97.5,72,19,12,NA,21,680,NA,NA,NA,NA
