DATE,Site Name,Site #,Duplicate site? (Y/N),JD,CJD,MO,DAY,YR,TIME,Q (cfs),Staff Gage (ft),TEMP (?C),COND (microS/cm),DO (mg/L),PH,PSAT (%),TP (microg/L),PO4 (microg/L),NH4 (microg/L),NO2 (microg/L),NO3+NO2 (microg/L),TN (microg/L),SiO2 (microg/L),TSS (mg/L),Turbidity (NTU),Notes
07-Mar-01,NF Sprague @ 3411 Rd,SR0040,NA,66,66,3,7,2001,1244,48.4,0.75,4.7,50,11.9,7.7,101.2,56,49,3,NA,4,50,NA,NA,NA,NA
07-Mar-01,SF Sprague @ Picnic Area,SR0050,NA,66,66,3,7,2001,1408,20.8,NA,6.47,80,12.6,7.6,110,47,32,10,NA,4,92,NA,NA,NA,NA
20-Mar-01,SF Sprague @ Picnic Area,SR0050,NA,79,79,3,20,2001,1235,41.8,NA,5.76,78,11.36,7.8,102.6,66,31,3,NA,4,279,NA,NA,NA,NA
21-Mar-01,NF Sprague @ 3411 Rd,SR0040,NA,80,80,3,21,2001,1154,64.3,0.88,5.3,50,11.39,7.38,102,69,46,3,NA,4,246,NA,NA,NA,NA
21-Mar-01,Sprague R @ Godowa Rd,SR0060,NA,80,80,3,21,2001,NA,335,NA,11.55,79,9.66,7.65,100.3,97,48,27,NA,21,443,NA,NA,NA,NA
21-Mar-01,Sycan R @ Drews Rd,SR0070,NA,80,80,3,21,2001,1507,68.6,NA,10.13,69,10.5,7.68,106.4,68,NA,36,NA,4,517,NA,NA,NA,NA
22-Mar-01,Sprague R @ Lone Pine,SR0080,NA,81,81,3,22,2001,1022,439,2.05,10.08,100,9.81,7.46,98.7,87,44,19,NA,11,424,NA,NA,NA,NA
04-Apr-01,NF Sprague @ 3411 Rd,SR0040,NA,94,94,4,4,2001,1110,62.5,0.88,1.76,42,NA,7.9,111.1,56,42,10,NA,15,163,NA,NA,NA,NA
04-Apr-01,SF Sprague @ Picnic Area,SR0050,NA,94,94,4,4,2001,950,41.6,NA,0.5,62,12.6,7.14,100.5,48,21,14,NA,17,180,NA,NA,NA,NA
04-Apr-01,Sprague R @ Godowa Rd,SR0060,NA,94,94,4,4,2001,1420,331,NA,8.9,70,11.75,7.31,111.7,63,40,20,NA,29,NA,NA,NA,NA,NA
04-Apr-01,Sycan R @ Drews Rd,SR0070,NA,94,94,4,4,2001,1310,78.3,NA,6.66,73,12.25,7.63,110.1,55,24,23,NA,22,491,NA,NA,NA,NA
04-Apr-01,Sprague R @ Power Plant,SR0090,NA,94,94,4,4,2001,1120,558,NA,6.99,92,10.33,7.63,98.5,76,41,24,NA,17,316,NA,NA,NA,NA
05-Apr-01,Sprague R @ Lone Pine,SR0080,NA,95,95,4,5,2001,1440,426,1.98,8.57,90,10.86,7.62,106.5,68,37,22,NA,22,306,NA,NA,NA,NA
17-Apr-01,Sprague R @ Lone Pine,SR0080,NA,107,107,4,17,2001,1115,341,1.76,9.31,105,9.93,7.57,98.1,63,34,23,NA,4,242,NA,NA,NA,NA
17-Apr-01,Sprague R @ Power Plant,SR0090,NA,107,107,4,17,2001,919,324,NA,9.39,103,9.54,7.86,94.3,73,41,22,NA,4,251,NA,NA,NA,NA
19-Apr-01,NF Sprague @ 3411 Rd,SR0040,NA,109,109,4,19,2001,1115,91.7,1.05,4.31,48,12.64,7.97,104.2,53,31,3,NA,4,NA,NA,NA,NA,NA
19-Apr-01,SF Sprague @ Picnic Area,SR0050,NA,109,109,4,19,2001,945,89.4,NA,4,70,11.75,8.08,102.7,62,20,3,NA,4,236,NA,NA,NA,NA
19-Apr-01,Sprague R @ Godowa Rd,SR0060,NA,109,109,4,19,2001,1416,377,NA,10.58,87,10.47,8.17,107.2,67,36,3,NA,4,190,NA,NA,NA,NA
19-Apr-01,Sycan R @ Drews Rd,SR0070,NA,109,109,4,19,2001,1305,55.7,NA,10.15,115,10.65,7.93,105.9,61,29,22,NA,4,387,NA,NA,NA,NA
16-May-01,Sprague R @ Lone Pine,SR0080,NA,136,136,5,16,2001,1300,362,1.8,14.4,128,7.96,8.83,75.5,61,48,70,NA,4,369,NA,NA,NA,NA
16-May-01,Sprague R @ Power Plant,SR0090,NA,136,136,5,16,2001,930,377,NA,13.28,118,7.43,9.02,70.3,66,NA,90,NA,4,333,NA,NA,NA,NA
17-May-01,NF Sprague @ 3411 Rd,SR0040,NA,137,137,5,17,2001,1130,97.4,1.15,8.8,47,11.2,7.56,109.3,42,NA,24,NA,4,NA,NA,NA,NA,NA
17-May-01,SF Sprague @ Picnic Area,SR0050,NA,137,137,5,17,2001,1023,68.8,NA,8.2,62,11.1,7.37,107.7,43,34,31,NA,4,200,NA,NA,NA,NA
17-May-01,Sprague R @ Godowa Rd,SR0060,NA,137,137,5,17,2001,1430,326,NA,17.43,98,10.84,8.52,132.3,71,48,75,NA,4,417,NA,NA,NA,NA
17-May-01,Sycan R @ Drews Rd,SR0070,NA,137,137,5,17,2001,1340,55,NA,16.85,101,11.51,8.48,131.5,44,33,41,NA,36,340,NA,NA,NA,NA
30-May-01,Sprague R @ Lone Pine,SR0080,NA,150,150,5,30,2001,1330,167,1.06,18.92,121,9.11,8.55,111.4,64,46,13,NA,4,277,NA,NA,NA,NA
30-May-01,Sprague R @ Power Plant,SR0090,NA,150,150,5,30,2001,933,225,NA,16.94,111,8.85,8.49,104.5,72,54,18,NA,4,300,NA,NA,NA,NA
31-May-01,NF Sprague @ 3411 Rd,SR0040,NA,151,151,5,31,2001,NA,58.8,0.84,10.84,49,10.06,7.6,102.9,48,44,3,NA,12,NA,NA,NA,NA,NA
31-May-01,SF Sprague @ Picnic Area,SR0050,NA,151,151,5,31,2001,952,24.4,NA,13.28,78,9.34,7.89,100.9,40,34,3,NA,4,200,NA,NA,NA,NA
31-May-01,Sprague R @ Godowa Rd,SR0060,NA,151,151,5,31,2001,1340,177,NA,20.82,102,10.94,8.79,139.1,58,46,3,NA,4,242,NA,NA,NA,NA
